timestamp,prediction,confidence,mode,cause,service,action,result
2026-04-28T07:12:54.955079,1,0.7708,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:13:00.256594,1,0.7708,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:13:05.484205,1,0.7608,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:13:10.844687,1,0.7821,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:13:16.111537,1,0.7836,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:13:23.221418,1,0.7736,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:13:28.466169,1,0.7551,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:13:33.732475,1,0.7352,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:13:40.081133,1,0.7352,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:13:45.540636,1,0.7385,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:13:52.636003,1,0.7328,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:13:57.834255,1,0.7419,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:14:03.036472,1,0.7328,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:14:08.223650,1,0.7306,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:14:13.435231,1,0.7306,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:14:18.611369,1,0.7306,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:14:25.633828,1,0.7306,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:14:30.832694,1,0.7339,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:14:36.069439,1,0.7467,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:14:41.310367,1,0.7488,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:14:46.666624,1,0.7488,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:14:51.925904,1,0.7488,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:14:58.926503,1,0.7488,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:15:04.119489,1,0.7488,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:15:09.339317,1,0.7488,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:15:14.546197,1,0.7475,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:15:19.891506,1,0.7475,shadow,unknown,unknown,shadow_mode,no_execution
2026-04-28T07:15:26.999346,1,0.7665,shadow,unknown,unknown,shadow_mode,no_execution
